date,equity
2022-10-26 00:00:00-04:00,99910.0
2022-10-27 00:00:00-04:00,99260.39258051159
2022-10-28 00:00:00-04:00,100583.02089574173
2022-10-31 00:00:00-04:00,99734.7241113692
2022-11-01 00:00:00-04:00,98849.44839216635
2022-11-02 00:00:00-04:00,96721.4362013124
2022-11-03 00:00:00-04:00,95914.14672192435
2022-11-04 00:00:00-04:00,96647.92761143652
2022-11-07 00:00:00-05:00,96571.71357076996
2022-11-08 00:00:00-05:00,96532.65035775516
2022-11-09 00:00:00-05:00,94242.26529082333
2022-11-10 00:00:00-05:00,99385.7900138458
2022-11-11 00:00:00-05:00,100882.51795936073
2022-11-14 00:00:00-05:00,99953.5822983047
2022-11-15 00:00:00-05:00,100527.3030306772
2022-11-16 00:00:00-05:00,99413.49025740306
2022-11-17 00:00:00-05:00,98993.09629000947
2022-11-18 00:00:00-05:00,98676.6803174339
2022-11-21 00:00:00-05:00,97736.9324805745
2022-11-22 00:00:00-05:00,98699.34628221864
2022-11-23 00:00:00-05:00,100069.83303439053
2022-11-25 00:00:00-05:00,99633.13312485267
2022-11-28 00:00:00-05:00,98930.71132947708
2022-11-29 00:00:00-05:00,98236.03565264487
2022-11-30 00:00:00-05:00,101565.81156989027
2022-12-01 00:00:00-05:00,101613.21812509451
2022-12-02 00:00:00-05:00,101389.65193007697
2022-12-05 00:00:00-05:00,99835.62174121718
2022-12-06 00:00:00-05:00,98552.62632870281
2022-12-07 00:00:00-05:00,98189.88449637264
2022-12-08 00:00:00-05:00,99286.10653340368
2022-12-09 00:00:00-05:00,99152.74307558374
2022-12-12 00:00:00-05:00,99581.83011208965
2022-12-13 00:00:00-05:00,99935.4284074682
2022-12-14 00:00:00-05:00,99214.84010826345
2022-12-15 00:00:00-05:00,97605.80565807654
2022-12-16 00:00:00-05:00,96492.45621444983
2022-12-19 00:00:00-05:00,95653.9958365959
2022-12-20 00:00:00-05:00,94853.96877781313
2022-12-21 00:00:00-05:00,95740.13344887279
2022-12-22 00:00:00-05:00,93343.64072518129
2022-12-23 00:00:00-05:00,93326.52276337099
2022-12-27 00:00:00-05:00,91209.46789296936
2022-12-28 00:00:00-05:00,90856.80903963151
2022-12-29 00:00:00-05:00,92781.41743926509
2022-12-30 00:00:00-05:00,92799.54150279329
2023-01-03 00:00:00-05:00,91219.31904326213
2023-01-04 00:00:00-05:00,91579.84344848907
2023-01-05 00:00:00-05:00,90321.83760216346
2023-01-06 00:00:00-05:00,91854.22327210463
2023-01-09 00:00:00-05:00,93022.1619371355
2023-01-10 00:00:00-05:00,93425.32533304184
2023-01-11 00:00:00-05:00,94825.65559388933
2023-01-12 00:00:00-05:00,95153.35219298323
2023-01-13 00:00:00-05:00,95730.54771192689
2023-01-17 00:00:00-05:00,96859.89497653654
2023-01-18 00:00:00-05:00,95893.46229656099
2023-01-19 00:00:00-05:00,95088.14261909066
2023-01-20 00:00:00-05:00,97105.2749536438
2023-01-23 00:00:00-05:00,98966.62787466121
2023-01-24 00:00:00-05:00,99021.25853736774
2023-01-25 00:00:00-05:00,99133.2863310522
2023-01-26 00:00:00-05:00,101104.07442914158
2023-01-27 00:00:00-05:00,102900.70912781112
2023-01-30 00:00:00-05:00,101063.7365921763
2023-01-31 00:00:00-05:00,102334.60829398088
2023-02-01 00:00:00-05:00,104040.0944812315
2023-02-02 00:00:00-05:00,106274.61162326232
2023-02-03 00:00:00-05:00,105103.28933228482
2023-02-06 00:00:00-05:00,105045.2208088584
2023-02-07 00:00:00-05:00,106313.02432444374
2023-02-08 00:00:00-05:00,106072.22918381338
2023-02-09 00:00:00-05:00,106045.22026101661
2023-02-10 00:00:00-05:00,104938.09888843432
2023-02-13 00:00:00-05:00,105980.18008698721
2023-02-14 00:00:00-05:00,107177.28428298017
2023-02-15 00:00:00-05:00,107555.48246459049
2023-02-16 00:00:00-05:00,105796.05354305962
2023-02-17 00:00:00-05:00,105640.96116330355
2023-02-21 00:00:00-05:00,103879.19101024838
2023-02-22 00:00:00-05:00,104258.699854608
2023-02-23 00:00:00-05:00,105972.35700331864
2023-02-24 00:00:00-05:00,104807.62416567249
2023-02-27 00:00:00-05:00,105627.24548869208
2023-02-28 00:00:00-05:00,105331.59106791817
2023-03-01 00:00:00-05:00,104317.0234023899
2023-03-02 00:00:00-05:00,104383.52031757377
2023-03-03 00:00:00-05:00,105821.67502669562
2023-03-06 00:00:00-05:00,105755.76927532742
2023-03-07 00:00:00-05:00,104955.35947328799
2023-03-08 00:00:00-05:00,105153.35409714622
2023-03-09 00:00:00-05:00,103801.02777160771
2023-03-10 00:00:00-05:00,103110.64658518955
2023-03-13 00:00:00-04:00,103827.80444562339
2023-03-14 00:00:00-04:00,105585.28039695616
2023-03-15 00:00:00-04:00,105928.15900125107
2023-03-16 00:00:00-04:00,107825.26527705125
2023-03-17 00:00:00-04:00,107567.5184356966
2023-03-20 00:00:00-04:00,107684.17414789506
2023-03-21 00:00:00-04:00,109108.592640978
2023-03-22 00:00:00-04:00,108449.8495927807
2023-03-23 00:00:00-04:00,109073.07311702514
2023-03-24 00:00:00-04:00,109123.23210723884
2023-03-27 00:00:00-04:00,108875.0919929199
2023-03-28 00:00:00-04:00,108511.3012983576
2023-03-29 00:00:00-04:00,109851.7092726776
2023-03-30 00:00:00-04:00,110530.11703541226
2023-03-31 00:00:00-04:00,111887.67465084822
2023-04-03 00:00:00-04:00,111293.43473259802
2023-04-04 00:00:00-04:00,111059.1173435079
2023-04-05 00:00:00-04:00,109984.90357891246
2023-04-06 00:00:00-04:00,110473.532917654
2023-04-10 00:00:00-04:00,110386.71502537947
2023-04-11 00:00:00-04:00,109761.42132488878
2023-04-12 00:00:00-04:00,108888.09934202638
2023-04-13 00:00:00-04:00,110400.42864743626
2023-04-14 00:00:00-04:00,110299.63236905533
2023-04-17 00:00:00-04:00,110721.75514707065
2023-04-18 00:00:00-04:00,110868.56843908003
2023-04-19 00:00:00-04:00,111067.70923533432
2023-04-20 00:00:00-04:00,109495.66002209959
2023-04-21 00:00:00-04:00,109868.33577985337
2023-04-24 00:00:00-04:00,109441.23281359402
2023-04-25 00:00:00-04:00,108247.31793284982
2023-04-26 00:00:00-04:00,109060.1831021595
2023-04-27 00:00:00-04:00,110808.66508376789
2023-04-28 00:00:00-04:00,111117.66391862201
2023-05-01 00:00:00-04:00,111013.58485446424
2023-05-02 00:00:00-04:00,110687.2519001425
2023-05-03 00:00:00-04:00,110379.1328621346
2023-05-04 00:00:00-04:00,110300.48661009641
2023-05-05 00:00:00-04:00,112287.25918700857
2023-05-08 00:00:00-04:00,112508.97229493804
2023-05-09 00:00:00-04:00,111929.81231636045
2023-05-10 00:00:00-04:00,112715.9011350342
2023-05-11 00:00:00-04:00,113032.21567619906
2023-05-12 00:00:00-04:00,112416.02378251005
2023-05-15 00:00:00-04:00,112600.59087686954
2023-05-16 00:00:00-04:00,112891.36738252555
2023-05-17 00:00:00-04:00,114104.41992321101
2023-05-18 00:00:00-04:00,115387.85284009737
2023-05-19 00:00:00-04:00,115268.8721524571
2023-05-22 00:00:00-04:00,115467.83954120122
2023-05-23 00:00:00-04:00,114686.21681229619
2023-05-24 00:00:00-04:00,114497.99666838713
2023-05-25 00:00:00-04:00,117637.60875319302
2023-05-26 00:00:00-04:00,119401.00594697335
2023-05-30 00:00:00-04:00,120376.41114193783
2023-05-31 00:00:00-04:00,119620.35966921062
2023-06-01 00:00:00-04:00,121071.68102559708
2023-06-02 00:00:00-04:00,121852.46250718337
2023-06-05 00:00:00-04:00,121959.24232238057
2023-06-06 00:00:00-04:00,121936.61030744927
2023-06-07 00:00:00-04:00,120736.21035181693
2023-06-08 00:00:00-04:00,122209.20040982275
2023-06-09 00:00:00-04:00,122810.58687386102
2023-06-12 00:00:00-04:00,123949.6461581515
