date,equity
2022-10-26 00:00:00-04:00,99928.70842443497
2022-10-27 00:00:00-04:00,99356.25030066885
2022-10-28 00:00:00-04:00,100642.39186105755
2022-10-31 00:00:00-04:00,99967.70416983444
2022-11-01 00:00:00-04:00,99251.98188830729
2022-11-02 00:00:00-04:00,97371.86033659583
2022-11-03 00:00:00-04:00,96637.99081299262
2022-11-04 00:00:00-04:00,97253.47559538268
2022-11-07 00:00:00-05:00,97151.00957520094
2022-11-08 00:00:00-05:00,97108.3924629435
2022-11-09 00:00:00-05:00,95042.15563718663
2022-11-10 00:00:00-05:00,99602.00356678062
2022-11-11 00:00:00-05:00,100924.07749765931
2022-11-14 00:00:00-05:00,100148.80033038149
2022-11-15 00:00:00-05:00,100728.93448108272
2022-11-16 00:00:00-05:00,99677.13332844352
2022-11-17 00:00:00-05:00,99282.10901701658
2022-11-18 00:00:00-05:00,98912.99754895878
2022-11-21 00:00:00-05:00,97862.97830206218
2022-11-22 00:00:00-05:00,98764.76033022841
2022-11-23 00:00:00-05:00,100067.59757867284
2022-11-25 00:00:00-05:00,99640.33438894217
2022-11-28 00:00:00-05:00,98922.18977992385
2022-11-29 00:00:00-05:00,98302.16943768463
2022-11-30 00:00:00-05:00,101276.98735479322
2022-12-01 00:00:00-05:00,101322.6521503164
2022-12-02 00:00:00-05:00,101046.9298822238
2022-12-05 00:00:00-05:00,99719.14490038103
2022-12-06 00:00:00-05:00,98517.31839279043
2022-12-07 00:00:00-05:00,98133.4795354561
2022-12-08 00:00:00-05:00,99135.63464751195
2022-12-09 00:00:00-05:00,99140.87127465928
2022-12-12 00:00:00-05:00,99399.51859701239
2022-12-13 00:00:00-05:00,99696.80135033757
2022-12-14 00:00:00-05:00,99002.29297979454
2022-12-15 00:00:00-05:00,97616.52412642437
2022-12-16 00:00:00-05:00,96574.9020650126
2022-12-19 00:00:00-05:00,95801.97802790522
2022-12-20 00:00:00-05:00,95000.95513076207
2022-12-21 00:00:00-05:00,95692.16485714956
2022-12-22 00:00:00-05:00,93447.33589701676
2022-12-23 00:00:00-05:00,93319.31577220693
2022-12-27 00:00:00-05:00,91205.62661887397
2022-12-28 00:00:00-05:00,90977.08990432488
2022-12-29 00:00:00-05:00,92785.13159213917
2022-12-30 00:00:00-05:00,92857.58795331791
2023-01-03 00:00:00-05:00,91323.20184177975
2023-01-04 00:00:00-05:00,91706.4830718726
2023-01-05 00:00:00-05:00,90605.47371756246
2023-01-06 00:00:00-05:00,91888.0877614857
2023-01-09 00:00:00-05:00,93137.53942561304
2023-01-10 00:00:00-05:00,93546.70173255379
2023-01-11 00:00:00-05:00,94832.920138243
2023-01-12 00:00:00-05:00,95278.77446485625
2023-01-13 00:00:00-05:00,95752.124464661
2023-01-17 00:00:00-05:00,96892.92620115909
2023-01-18 00:00:00-05:00,96234.8956056514
2023-01-19 00:00:00-05:00,95485.66698447772
2023-01-20 00:00:00-05:00,97363.92316839742
2023-01-23 00:00:00-05:00,99199.53669406888
2023-01-24 00:00:00-05:00,99231.88158347609
2023-01-25 00:00:00-05:00,99260.06260676401
2023-01-26 00:00:00-05:00,101201.71948862523
2023-01-27 00:00:00-05:00,102977.58104092084
2023-01-30 00:00:00-05:00,101156.10126590054
2023-01-31 00:00:00-05:00,102250.52168766432
2023-02-01 00:00:00-05:00,103903.6661437618
2023-02-02 00:00:00-05:00,106124.35646310356
2023-02-03 00:00:00-05:00,105255.45471583016
2023-02-06 00:00:00-05:00,105168.08838293844
2023-02-07 00:00:00-05:00,106456.90295889578
2023-02-08 00:00:00-05:00,106331.02250606142
2023-02-09 00:00:00-05:00,106369.39649083241
2023-02-10 00:00:00-05:00,105275.9401999801
2023-02-13 00:00:00-05:00,106096.91086017343
2023-02-14 00:00:00-05:00,107468.41055488515
2023-02-15 00:00:00-05:00,107808.82226998705
2023-02-16 00:00:00-05:00,106191.65493218711
2023-02-17 00:00:00-05:00,105900.36242850014
2023-02-21 00:00:00-05:00,104261.34170953138
2023-02-22 00:00:00-05:00,104577.92440837888
2023-02-23 00:00:00-05:00,106277.13876230406
2023-02-24 00:00:00-05:00,105216.97940407576
2023-02-27 00:00:00-05:00,106036.23193772195
2023-02-28 00:00:00-05:00,105781.29123171727
2023-03-01 00:00:00-05:00,104935.04934810236
2023-03-02 00:00:00-05:00,104849.93209710556
2023-03-03 00:00:00-05:00,106266.06664477268
2023-03-06 00:00:00-05:00,106067.55821692747
2023-03-07 00:00:00-05:00,105331.9080453398
2023-03-08 00:00:00-05:00,105515.07487267558
2023-03-09 00:00:00-05:00,104306.42082145957
2023-03-10 00:00:00-05:00,103699.06650480919
2023-03-13 00:00:00-04:00,104267.25814770957
2023-03-14 00:00:00-04:00,105925.69006615924
2023-03-15 00:00:00-04:00,106162.72972861287
2023-03-16 00:00:00-04:00,107901.01490882105
2023-03-17 00:00:00-04:00,107722.31934676305
2023-03-20 00:00:00-04:00,107768.59869811985
2023-03-21 00:00:00-04:00,109165.20815968269
2023-03-22 00:00:00-04:00,108606.28326492413
2023-03-23 00:00:00-04:00,109253.80206380719
2023-03-24 00:00:00-04:00,109141.5313669598
